,image_id,domain,split,image_path,domain_name
120,n02381460_671,A,train,trainA/n02381460_671.jpg,Horse
121,n02381460_6388,A,train,trainA/n02381460_6388.jpg,Horse
122,n02381460_1168,A,train,trainA/n02381460_1168.jpg,Horse
123,n02381460_2449,A,train,trainA/n02381460_2449.jpg,Horse
124,n02381460_1801,A,val,trainA/n02381460_1801.jpg,Horse
125,n02381460_1197,A,train,trainA/n02381460_1197.jpg,Horse
126,n02381460_4602,A,train,trainA/n02381460_4602.jpg,Horse
127,n02381460_1008,A,train,trainA/n02381460_1008.jpg,Horse
128,n02381460_1034,A,val,trainA/n02381460_1034.jpg,Horse
129,n02381460_249,A,train,trainA/n02381460_249.jpg,Horse
130,n02381460_3192,A,train,trainA/n02381460_3192.jpg,Horse
131,n02381460_3838,A,train,trainA/n02381460_3838.jpg,Horse
132,n02381460_1578,A,train,trainA/n02381460_1578.jpg,Horse
133,n02381460_4372,A,train,trainA/n02381460_4372.jpg,Horse
134,n02381460_2703,A,val,trainA/n02381460_2703.jpg,Horse
135,n02381460_3353,A,train,trainA/n02381460_3353.jpg,Horse
136,n02381460_739,A,train,trainA/n02381460_739.jpg,Horse
137,n02381460_5087,A,train,trainA/n02381460_5087.jpg,Horse
138,n02381460_5915,A,train,trainA/n02381460_5915.jpg,Horse
139,n02381460_7858,A,train,trainA/n02381460_7858.jpg,Horse
140,n02381460_3394,A,train,trainA/n02381460_3394.jpg,Horse
141,n02381460_1583,A,train,trainA/n02381460_1583.jpg,Horse
142,n02381460_4376,A,train,trainA/n02381460_4376.jpg,Horse
143,n02381460_2061,A,val,trainA/n02381460_2061.jpg,Horse
144,n02381460_1232,A,val,trainA/n02381460_1232.jpg,Horse
145,n02381460_2049,A,val,trainA/n02381460_2049.jpg,Horse
146,n02381460_6549,A,train,trainA/n02381460_6549.jpg,Horse
147,n02381460_1226,A,train,trainA/n02381460_1226.jpg,Horse
148,n02381460_4809,A,train,trainA/n02381460_4809.jpg,Horse
149,n02381460_6978,A,train,trainA/n02381460_6978.jpg,Horse
150,n02381460_3182,A,train,trainA/n02381460_3182.jpg,Horse
151,n02381460_6944,A,train,trainA/n02381460_6944.jpg,Horse
152,n02381460_503,A,val,trainA/n02381460_503.jpg,Horse
153,n02381460_1959,A,train,trainA/n02381460_1959.jpg,Horse
154,n02381460_6763,A,val,trainA/n02381460_6763.jpg,Horse
155,n02381460_4606,A,val,trainA/n02381460_4606.jpg,Horse
156,n02381460_2539,A,val,trainA/n02381460_2539.jpg,Horse
157,n02381460_6987,A,train,trainA/n02381460_6987.jpg,Horse
158,n02381460_6824,A,train,trainA/n02381460_6824.jpg,Horse
159,n02381460_311,A,train,trainA/n02381460_311.jpg,Horse
160,n02381460_477,A,train,trainA/n02381460_477.jpg,Horse
161,n02381460_4766,A,val,trainA/n02381460_4766.jpg,Horse
162,n02381460_2317,A,train,trainA/n02381460_2317.jpg,Horse
163,n02381460_2465,A,train,trainA/n02381460_2465.jpg,Horse
164,n02381460_1144,A,train,trainA/n02381460_1144.jpg,Horse
165,n02381460_9083,A,train,trainA/n02381460_9083.jpg,Horse
166,n02381460_891,A,train,trainA/n02381460_891.jpg,Horse
167,n02381460_8389,A,train,trainA/n02381460_8389.jpg,Horse
168,n02381460_675,A,train,trainA/n02381460_675.jpg,Horse
169,n02381460_1391,A,train,trainA/n02381460_1391.jpg,Horse
170,n02381460_6373,A,val,trainA/n02381460_6373.jpg,Horse
171,n02381460_852,A,train,trainA/n02381460_852.jpg,Horse
172,n02381460_3551,A,train,trainA/n02381460_3551.jpg,Horse
173,n02381460_2883,A,train,trainA/n02381460_2883.jpg,Horse
174,n02381460_3222,A,train,trainA/n02381460_3222.jpg,Horse
175,n02381460_1435,A,train,trainA/n02381460_1435.jpg,Horse
176,n02381460_5135,A,train,trainA/n02381460_5135.jpg,Horse
177,n02381460_1347,A,train,trainA/n02381460_1347.jpg,Horse
178,n02381460_4571,A,train,trainA/n02381460_4571.jpg,Horse
179,n02381460_674,A,train,trainA/n02381460_674.jpg,Horse
180,n02381460_2699,A,train,trainA/n02381460_2699.jpg,Horse
181,n02381460_1384,A,train,trainA/n02381460_1384.jpg,Horse
182,n02381460_7905,A,train,trainA/n02381460_7905.jpg,Horse
183,n02381460_3746,A,val,trainA/n02381460_3746.jpg,Horse
184,n02381460_1637,A,train,trainA/n02381460_1637.jpg,Horse
185,n02381460_489,A,train,trainA/n02381460_489.jpg,Horse
186,n02381460_9243,A,train,trainA/n02381460_9243.jpg,Horse
187,n02381460_476,A,train,trainA/n02381460_476.jpg,Horse
188,n02381460_1804,A,train,trainA/n02381460_1804.jpg,Horse
189,n02381460_1025,A,train,trainA/n02381460_1025.jpg,Horse
190,n02381460_1743,A,train,trainA/n02381460_1743.jpg,Horse
191,n02381460_5525,A,train,trainA/n02381460_5525.jpg,Horse
192,n02381460_1019,A,train,trainA/n02381460_1019.jpg,Horse
193,n02381460_5519,A,train,trainA/n02381460_5519.jpg,Horse
194,n02381460_2276,A,val,trainA/n02381460_2276.jpg,Horse
195,n02381460_4613,A,train,trainA/n02381460_4613.jpg,Horse
196,n02381460_3829,A,train,trainA/n02381460_3829.jpg,Horse
197,n02381460_2289,A,train,trainA/n02381460_2289.jpg,Horse
198,n02381460_91,A,train,trainA/n02381460_91.jpg,Horse
199,n02381460_2048,A,train,trainA/n02381460_2048.jpg,Horse
200,n02381460_1227,A,train,trainA/n02381460_1227.jpg,Horse
201,n02381460_3424,A,train,trainA/n02381460_3424.jpg,Horse
202,n02381460_2706,A,train,trainA/n02381460_2706.jpg,Horse
203,n02381460_933,A,train,trainA/n02381460_933.jpg,Horse
204,n02381460_3395,A,val,trainA/n02381460_3395.jpg,Horse
205,n02381460_7695,A,train,trainA/n02381460_7695.jpg,Horse
206,n02381460_2921,A,train,trainA/n02381460_2921.jpg,Horse
207,n02381460_1596,A,train,trainA/n02381460_1596.jpg,Horse
208,n02381460_728,A,train,trainA/n02381460_728.jpg,Horse
209,n02381460_2089,A,train,trainA/n02381460_2089.jpg,Horse
210,n02381460_3383,A,train,trainA/n02381460_3383.jpg,Horse
211,n02381460_4361,A,val,trainA/n02381460_4361.jpg,Horse
212,n02381460_4407,A,train,trainA/n02381460_4407.jpg,Horse
213,n02381460_6204,A,train,trainA/n02381460_6204.jpg,Horse
214,n02381460_4413,A,train,trainA/n02381460_4413.jpg,Horse
215,n02381460_919,A,train,trainA/n02381460_919.jpg,Horse
216,n02381460_3354,A,val,trainA/n02381460_3354.jpg,Horse
217,n02381460_1557,A,train,trainA/n02381460_1557.jpg,Horse
218,n02381460_7126,A,train,trainA/n02381460_7126.jpg,Horse
219,n02381460_3803,A,train,trainA/n02381460_3803.jpg,Horse
220,n02381460_528,A,train,trainA/n02381460_528.jpg,Horse
221,n02381460_7495,A,val,trainA/n02381460_7495.jpg,Horse
222,n02381460_1796,A,train,trainA/n02381460_1796.jpg,Horse
223,n02381460_8759,A,train,trainA/n02381460_8759.jpg,Horse
224,n02381460_299,A,train,trainA/n02381460_299.jpg,Horse
225,n02381460_1769,A,train,trainA/n02381460_1769.jpg,Horse
226,n02381460_4639,A,train,trainA/n02381460_4639.jpg,Horse
227,n02381460_1027,A,train,trainA/n02381460_1027.jpg,Horse
228,n02381460_8765,A,train,trainA/n02381460_8765.jpg,Horse
229,n02381460_7456,A,train,trainA/n02381460_7456.jpg,Horse
230,n02381460_5241,A,train,trainA/n02381460_5241.jpg,Horse
231,n02381460_474,A,train,trainA/n02381460_474.jpg,Horse
232,n02381460_2499,A,train,trainA/n02381460_2499.jpg,Horse
233,n02381460_1184,A,train,trainA/n02381460_1184.jpg,Horse
234,n02381460_306,A,train,trainA/n02381460_306.jpg,Horse
235,n02381460_4771,A,train,trainA/n02381460_4771.jpg,Horse
236,n02381460_8639,A,train,trainA/n02381460_8639.jpg,Horse
237,n02381460_1635,A,train,trainA/n02381460_1635.jpg,Horse
238,n02381460_8611,A,train,trainA/n02381460_8611.jpg,Horse
239,n02381460_1147,A,train,trainA/n02381460_1147.jpg,Horse
240,n02381460_1621,A,train,trainA/n02381460_1621.jpg,Horse
241,n02381460_676,A,train,trainA/n02381460_676.jpg,Horse
242,n02381460_4598,A,train,trainA/n02381460_4598.jpg,Horse
243,n02381460_6402,A,train,trainA/n02381460_6402.jpg,Horse
244,n02381460_2116,A,val,trainA/n02381460_2116.jpg,Horse
245,n02381460_3546,A,train,trainA/n02381460_3546.jpg,Horse
246,n02381460_879,A,train,trainA/n02381460_879.jpg,Horse
247,n02381460_1423,A,train,trainA/n02381460_1423.jpg,Horse
248,n02381460_1422,A,val,trainA/n02381460_1422.jpg,Horse
249,n02381460_4228,A,train,trainA/n02381460_4228.jpg,Horse
250,n02381460_3221,A,val,trainA/n02381460_3221.jpg,Horse
251,n02381460_4566,A,train,trainA/n02381460_4566.jpg,Horse
252,n02381460_6403,A,train,trainA/n02381460_6403.jpg,Horse
253,n02381460_4572,A,val,trainA/n02381460_4572.jpg,Horse
254,n02381460_2103,A,val,trainA/n02381460_2103.jpg,Horse
255,n02381460_1387,A,val,trainA/n02381460_1387.jpg,Horse
256,n02381460_105,A,train,trainA/n02381460_105.jpg,Horse
257,n02381460_677,A,train,trainA/n02381460_677.jpg,Horse
258,n02381460_9095,A,train,trainA/n02381460_9095.jpg,Horse
259,n02381460_7537,A,train,trainA/n02381460_7537.jpg,Horse
260,n02381460_3989,A,train,trainA/n02381460_3989.jpg,Horse
261,n02381460_4758,A,train,trainA/n02381460_4758.jpg,Horse
262,n02381460_461,A,train,trainA/n02381460_461.jpg,Horse
263,n02381460_1191,A,train,trainA/n02381460_1191.jpg,Horse
264,n02381460_1813,A,train,trainA/n02381460_1813.jpg,Horse
265,n02381460_4638,A,train,trainA/n02381460_4638.jpg,Horse
266,n02381460_5526,A,val,trainA/n02381460_5526.jpg,Horse
267,n02381460_3619,A,train,trainA/n02381460_3619.jpg,Horse
268,n02381460_6761,A,val,trainA/n02381460_6761.jpg,Horse
269,n02381460_2261,A,val,trainA/n02381460_2261.jpg,Horse
270,n02381460_2275,A,val,trainA/n02381460_2275.jpg,Horse
271,n02381460_6946,A,train,trainA/n02381460_6946.jpg,Horse
272,n02381460_501,A,train,trainA/n02381460_501.jpg,Horse
273,n02381460_86,A,val,trainA/n02381460_86.jpg,Horse
274,n02381460_1973,A,val,trainA/n02381460_1973.jpg,Horse
275,n02381460_4348,A,train,trainA/n02381460_4348.jpg,Horse
276,n02381460_3355,A,train,trainA/n02381460_3355.jpg,Horse
277,n02381460_4412,A,val,trainA/n02381460_4412.jpg,Horse
278,n02381460_4374,A,train,trainA/n02381460_4374.jpg,Horse
279,n02381460_3369,A,val,trainA/n02381460_3369.jpg,Horse
280,n02381460_717,A,val,trainA/n02381460_717.jpg,Horse
281,n02381460_2936,A,train,trainA/n02381460_2936.jpg,Horse
282,n02381460_1581,A,train,trainA/n02381460_1581.jpg,Horse
283,n02381460_703,A,train,trainA/n02381460_703.jpg,Horse
284,n02381460_5917,A,train,trainA/n02381460_5917.jpg,Horse
285,n02381460_2951,A,train,trainA/n02381460_2951.jpg,Horse
286,n02381460_764,A,train,trainA/n02381460_764.jpg,Horse
287,n02381460_6289,A,train,trainA/n02381460_6289.jpg,Horse
288,n02381460_3483,A,train,trainA/n02381460_3483.jpg,Horse
289,n02381460_1525,A,train,trainA/n02381460_1525.jpg,Horse
290,n02381460_1531,A,val,trainA/n02381460_1531.jpg,Horse
291,n02381460_8515,A,train,trainA/n02381460_8515.jpg,Horse
292,n02381460_4307,A,train,trainA/n02381460_4307.jpg,Horse
293,n02381460_1519,A,val,trainA/n02381460_1519.jpg,Horse
294,n02381460_1082,A,train,trainA/n02381460_1082.jpg,Horse
295,n02381460_1727,A,train,trainA/n02381460_1727.jpg,Horse
296,n02381460_3656,A,train,trainA/n02381460_3656.jpg,Horse
297,n02381460_2548,A,train,trainA/n02381460_2548.jpg,Horse
298,n02381460_4663,A,train,trainA/n02381460_4663.jpg,Horse
299,n02381460_36,A,train,trainA/n02381460_36.jpg,Horse
300,n02381460_1874,A,train,trainA/n02381460_1874.jpg,Horse
301,n02381460_3905,A,train,trainA/n02381460_3905.jpg,Horse
302,n02381460_3911,A,train,trainA/n02381460_3911.jpg,Horse
303,n02381460_1135,A,train,trainA/n02381460_1135.jpg,Horse
304,n02381460_4059,A,train,trainA/n02381460_4059.jpg,Horse
305,n02381460_2366,A,train,trainA/n02381460_2366.jpg,Horse
306,n02381460_2414,A,train,trainA/n02381460_2414.jpg,Horse
307,n02381460_1486,A,train,trainA/n02381460_1486.jpg,Horse
308,n02381460_5804,A,train,trainA/n02381460_5804.jpg,Horse
309,n02381460_1337,A,train,trainA/n02381460_1337.jpg,Horse
310,n02381460_4529,A,train,trainA/n02381460_4529.jpg,Horse
311,n02381460_8449,A,val,trainA/n02381460_8449.jpg,Horse
312,n02381460_4515,A,train,trainA/n02381460_4515.jpg,Horse
313,n02381460_4501,A,train,trainA/n02381460_4501.jpg,Horse
314,n02381460_1478,A,train,trainA/n02381460_1478.jpg,Horse
315,n02381460_3509,A,train,trainA/n02381460_3509.jpg,Horse
316,n02381460_836,A,val,trainA/n02381460_836.jpg,Horse
317,n02381460_8306,A,train,trainA/n02381460_8306.jpg,Horse
318,n02381460_1336,A,train,trainA/n02381460_1336.jpg,Horse
319,n02381460_4528,A,train,trainA/n02381460_4528.jpg,Horse
320,n02381460_5805,A,train,trainA/n02381460_5805.jpg,Horse
321,n02381460_1487,A,val,trainA/n02381460_1487.jpg,Horse
322,n02381460_177,A,val,trainA/n02381460_177.jpg,Horse
323,n02381460_1493,A,train,trainA/n02381460_1493.jpg,Horse
324,n02381460_5408,A,train,trainA/n02381460_5408.jpg,Horse
325,n02381460_1108,A,train,trainA/n02381460_1108.jpg,Horse
326,n02381460_8104,A,val,trainA/n02381460_8104.jpg,Horse
327,n02381460_3051,A,train,trainA/n02381460_3051.jpg,Horse
328,n02381460_1134,A,train,trainA/n02381460_1134.jpg,Horse
329,n02381460_1068,A,val,trainA/n02381460_1068.jpg,Horse
330,n02381460_598,A,train,trainA/n02381460_598.jpg,Horse
331,n02381460_2575,A,val,trainA/n02381460_2575.jpg,Horse
332,n02381460_1915,A,train,trainA/n02381460_1915.jpg,Horse
333,n02381460_1901,A,train,trainA/n02381460_1901.jpg,Horse
334,n02381460_567,A,val,trainA/n02381460_567.jpg,Horse
335,n02381460_3694,A,train,trainA/n02381460_3694.jpg,Horse
336,n02381460_1083,A,train,trainA/n02381460_1083.jpg,Horse
337,n02381460_4474,A,train,trainA/n02381460_4474.jpg,Horse
338,n02381460_4312,A,train,trainA/n02381460_4312.jpg,Horse
339,n02381460_6511,A,train,trainA/n02381460_6511.jpg,Horse
340,n02381460_3469,A,train,trainA/n02381460_3469.jpg,Horse
341,n02381460_6277,A,train,trainA/n02381460_6277.jpg,Horse
342,n02381460_1524,A,train,trainA/n02381460_1524.jpg,Horse
343,n02381460_981,A,val,trainA/n02381460_981.jpg,Horse
344,n02381460_2788,A,val,trainA/n02381460_2788.jpg,Horse
345,n02381460_765,A,train,trainA/n02381460_765.jpg,Horse
346,n02381460_1297,A,train,trainA/n02381460_1297.jpg,Horse
347,n02381460_767,A,train,trainA/n02381460_767.jpg,Horse
348,n02381460_1283,A,train,trainA/n02381460_1283.jpg,Horse
349,n02381460_2985,A,train,trainA/n02381460_2985.jpg,Horse
350,n02381460_968,A,train,trainA/n02381460_968.jpg,Horse
351,n02381460_1526,A,val,trainA/n02381460_1526.jpg,Horse
352,n02381460_4338,A,train,trainA/n02381460_4338.jpg,Horse
353,n02381460_4476,A,val,trainA/n02381460_4476.jpg,Horse
354,n02381460_798,A,train,trainA/n02381460_798.jpg,Horse
355,n02381460_6922,A,train,trainA/n02381460_6922.jpg,Horse
356,n02381460_203,A,train,trainA/n02381460_203.jpg,Horse
357,n02381460_565,A,train,trainA/n02381460_565.jpg,Horse
358,n02381460_559,A,train,trainA/n02381460_559.jpg,Horse
359,n02381460_4648,A,train,trainA/n02381460_4648.jpg,Horse
360,n02381460_8714,A,train,trainA/n02381460_8714.jpg,Horse
361,n02381460_4674,A,train,trainA/n02381460_4674.jpg,Horse
362,n02381460_4112,A,train,trainA/n02381460_4112.jpg,Horse
363,n02381460_2563,A,train,trainA/n02381460_2563.jpg,Horse
364,n02381460_1687,A,train,trainA/n02381460_1687.jpg,Horse
365,n02381460_4927,A,train,trainA/n02381460_4927.jpg,Horse
366,n02381460_411,A,train,trainA/n02381460_411.jpg,Horse
367,n02381460_1122,A,val,trainA/n02381460_1122.jpg,Horse
368,n02381460_1888,A,train,trainA/n02381460_1888.jpg,Horse
369,n02381460_2371,A,train,trainA/n02381460_2371.jpg,Horse
370,n02381460_2403,A,train,trainA/n02381460_2403.jpg,Horse
371,n02381460_3286,A,train,trainA/n02381460_3286.jpg,Horse
372,n02381460_2198,A,train,trainA/n02381460_2198.jpg,Horse
373,n02381460_175,A,val,trainA/n02381460_175.jpg,Horse
374,n02381460_1334,A,train,trainA/n02381460_1334.jpg,Horse
375,n02381460_2615,A,train,trainA/n02381460_2615.jpg,Horse
376,n02381460_4502,A,train,trainA/n02381460_4502.jpg,Horse
377,n02381460_834,A,val,trainA/n02381460_834.jpg,Horse
378,n02381460_4516,A,train,trainA/n02381460_4516.jpg,Horse
379,n02381460_7779,A,train,trainA/n02381460_7779.jpg,Horse
380,n02381460_835,A,train,trainA/n02381460_835.jpg,Horse
381,n02381460_6466,A,val,trainA/n02381460_6466.jpg,Horse
382,n02381460_1484,A,train,trainA/n02381460_1484.jpg,Horse
383,n02381460_2402,A,train,trainA/n02381460_2402.jpg,Horse
384,n02381460_4701,A,train,trainA/n02381460_4701.jpg,Horse
385,n02381460_4729,A,train,trainA/n02381460_4729.jpg,Horse
386,n02381460_1651,A,train,trainA/n02381460_1651.jpg,Horse
387,n02381460_1645,A,train,trainA/n02381460_1645.jpg,Horse
388,n02381460_1862,A,train,trainA/n02381460_1862.jpg,Horse
389,n02381460_376,A,train,trainA/n02381460_376.jpg,Horse
390,n02381460_3085,A,train,trainA/n02381460_3085.jpg,Horse
391,n02381460_3091,A,train,trainA/n02381460_3091.jpg,Horse
392,n02381460_1686,A,train,trainA/n02381460_1686.jpg,Horse
393,n02381460_5386,A,train,trainA/n02381460_5386.jpg,Horse
394,n02381460_4107,A,train,trainA/n02381460_4107.jpg,Horse
395,n02381460_4661,A,train,trainA/n02381460_4661.jpg,Horse
396,n02381460_558,A,train,trainA/n02381460_558.jpg,Horse
397,n02381460_1916,A,train,trainA/n02381460_1916.jpg,Horse
398,n02381460_202,A,train,trainA/n02381460_202.jpg,Horse
399,n02381460_6089,A,train,trainA/n02381460_6089.jpg,Horse
400,n02381460_2012,A,train,trainA/n02381460_2012.jpg,Horse
401,n02381460_941,A,train,trainA/n02381460_941.jpg,Horse
402,n02381460_4305,A,train,trainA/n02381460_4305.jpg,Horse
403,n02381460_3442,A,train,trainA/n02381460_3442.jpg,Horse
404,n02381460_1533,A,train,trainA/n02381460_1533.jpg,Horse
405,n02381460_969,A,train,trainA/n02381460_969.jpg,Horse
406,n02381460_9184,A,train,trainA/n02381460_9184.jpg,Horse
407,n02381460_7803,A,train,trainA/n02381460_7803.jpg,Horse
408,n02381460_5782,A,train,trainA/n02381460_5782.jpg,Horse
409,n02381460_2953,A,train,trainA/n02381460_2953.jpg,Horse
410,n02381460_986,A,train,trainA/n02381460_986.jpg,Horse
411,n02381460_776,A,val,trainA/n02381460_776.jpg,Horse
412,n02381460_1292,A,train,trainA/n02381460_1292.jpg,Horse
413,n02381460_4473,A,train,trainA/n02381460_4473.jpg,Horse
414,n02381460_4467,A,train,trainA/n02381460_4467.jpg,Horse
